symbol,company_name,market_cap_cr,as_of_qtr
MINDACORP,Minda Corporation Ltd,12112,202603
FINEORG,Fine Organic Industries Ltd,12103,202603
POLYMED,Poly Medicure Ltd,12070,202603
JYOTHYLAB,Jyothy Labs Ltd,12068,202503
GRAPHITE,Graphite India Ltd,12046,202603
UTIAMC,UTI Asset Management Company Ltd,12045,202603
ALIVUS,Alivus Life Sciences Ltd,11957,202603
INDIAMART,Indiamart Intermesh Ltd,11921,202603
USHAMART,Usha Martin Ltd,11906,202603
FINCABLES,Finolex Cables Ltd,11866,202603
GABRIEL,Gabriel India Ltd,11858,202603
RAINBOW,Rainbow Childrens Medicare Ltd,11814,202603
JINDALSAW,Jindal Saw Ltd,11719,202603
ZENSARTECH,Zensar Technologies Ltd,11707,202603
DEVYANI,Devyani International Ltd,11651,202603
COHANCE,Cohance Lifesciences Ltd,11550,202603
ZENTEC,Zen Technologies Ltd,11538,202603
TRIDENT,Trident Ltd,11486,202603
TBOTEK,TBO Tek Ltd,11484,202603
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp Ltd,11480,202603
TECHNOE,Techno Electric & Engineering Company Ltd,11458,202603
CAPLIPOINT,Caplin Point Laboratories Ltd,11441,202603
INTERISE,Interise Trust,11440,202509
BEML,BEML Ltd,11391,202603
ABDL,Allied Blenders & Distillers Ltd,11318,202603
PRIVISCL,Privi Speciality Chemicals Ltd,11312,202603
BLUEDART,Blue Dart Express Ltd,11234,202603
CUPID,Cupid Ltd,11181,202603
PARADEEP,Paradeep Phosphates Ltd,11134,202603
INGERRAND,Ingersoll-Rand (India) Ltd,11044,202603
CMPDI,Central Mine Planning & Design Institute Ltd,10999,202603
JKTYRE,JK Tyre & Industries Ltd,10991,202603
HAPPYFORGE,Happy Forgings Ltd,10924,202603
FIRSTCRY,Brainbees Solutions Ltd,10880,202603
JMFINANCIL,JM Financial Ltd,10860,202603
IRCON,Ircon International Ltd,10849,202603
ABLBL,Aditya Birla Lifestyle Brands Ltd,10747,202603
MTARTECH,MTAR Technologies Ltd,10671,202603
INDIACEM,India Cements Ltd,10670,202603
INOXINDIA,Inox India Ltd,10644,202603
CONCORDBIO,Concord Biotech Ltd,10628,202603
THANGAMAYL,Thangamayil Jewellery Ltd,10628,202603
KIRLOSBROS,Kirloskar Brothers Ltd,10625,202603
CANFINHOME,Can Fin Homes Ltd,10568,202603
BLACKBUCK,Blackbuck Ltd,10481,202603
INDGN,Indegene Ltd,10468,202603
HEG,HEG Ltd,10466,202603
WELSPUNLIV,Welspun Living Ltd,10436,202603
AAVAS,AAVAS Financiers Ltd,10412,202403
FIVESTAR,Five-Star Business Finance Ltd,10409,202603
HFCL,HFCL Ltd,10394,202603
LUMAXTECH,Lumax Auto Technologies Ltd,10383,202603
TI,Tilaknagar Industries Ltd,10285,202603
GODREJAGRO,Godrej Agrovet Ltd,10277,202603
SKFINDUS,SKF India (Industrial) Ltd,10274,202603
ENGINERSIN,Engineers India Ltd,10257,202603
SCI,Shipping Corporation of India Ltd,10238,202603
IEX,Indian Energy Exchange Ltd,10228,202603
JWL,Jupiter Wagons Ltd,10174,202603
OLAELEC,Ola Electric Mobility Ltd,10066,202603
MEDPLUS,Medplus Health Services Ltd,10058,202603
BALRAMCHIN,Balrampur Chini Mills Ltd,10047,202603
NUVOCO,Nuvoco Vistas Corporation Ltd,10041,202603
WHIRLPOOL,Whirlpool of India Ltd,10027,202603
SIGNATURE,SignatureGlobal India Ltd,10025,202603
,Maple Infrastructure Trust,10022,202603
AFCONS,Afcons Infrastructure Ltd,9963,202603
CAMPUS,Campus Activewear Ltd,9895,202206
SANOFICONR,Sanofi Consumer Healthcare India Ltd,9889,202603
UJJIVANSFB,Ujjivan Small Finance Bank Ltd,9817,202603
APTUS,Aptus Value Housing Finance India Ltd,9752,202603
GRAVITA,Gravita India Ltd,9734,202603
NSLNISP,NMDC Steel Ltd,9727,202603
BLS,BLS International Services Ltd,9703,202603
HONASA,Honasa Consumer Ltd,9701,202603
JPPOWER,Jaiprakash Power Ventures Ltd,9615,202603
SBFC,SBFC Finance Ltd,9589,202503
AZAD,Azad Engineering Ltd,9583,202603
SHAILY,Shaily Engineering Plastics Ltd,9580,202603
PCBL,PCBL Chemical Ltd,9532,202603
CORONA,Corona Remedies Ltd,9517,202603
EDELWEISS,Edelweiss Financial Services Ltd,9442,202603
HOMEFIRST,Home First Finance Company India Ltd,9418,202603
SWANCORP,Swan Corp Ltd,9404,202603
BSOFT,Birlasoft Ltd,9294,202603
FINPIPE,Finolex Industries Ltd,9261,202603
ATLANTAELE,Atlanta Electricals Ltd,9252,202603
BBTC,The Bombay Burmah Trading Corporation Ltd,9215,202603
TMB,Tamilnad Mercantile Bank Ltd,9189,202603
MGL,Mahanagar Gas Ltd,9157,202603
PVRINOX,PVR Inox Ltd,9022,202603
PRUDENT,Prudent Corporate Advisory Services Ltd,9009,202603
CLEANMAX,Clean Max Enviro Energy Solutions Ltd,9000,202603
METROPOLIS,Metropolis Healthcare Ltd,8993,202603
SOUTHBANK,South Indian Bank Ltd,8952,202603
ACE,Action Construction Equipment Ltd,8919,202603
ARVIND,Arvind Ltd,8895,202603
CERA,Cera Sanitaryware Ltd,8869,202506
VIJAYA,Vijaya Diagnostic Centre Ltd,8864,202603
VESUVIUS,Vesuvius India Ltd,8814,202603
VOLTAMP,Voltamp Transformers Ltd,8787,202603
CEMPRO,Cemindia Projects Ltd,8771,202603
ASKAUTOLTD,ASK Automotive Ltd,8754,202603
JUBLINGREA,Jubilant Ingrevia Ltd,8659,202603
STAR,Strides Pharma Science Ltd,8644,202603
JAIBALAJI,Jai Balaji Industries Ltd,8621,202509
STLTECH,Sterlite Technologies Ltd,8613,202603
NAZARA,Nazara Technologies Ltd,8608,202603
CELLO,Cello World Ltd,8570,202603
EUREKAFORB,Eureka Forbes Ltd,8513,202603
RKFORGE,Ramkrishna Forgings Ltd,8483,202603
RITES,Rites Ltd,8439,202603
KTKBANK,Karnataka Bank Ltd,8435,202603
RPOWER,Reliance Power Ltd,8420,202603
SWANDEF,Swan Defence and Heavy Industries Ltd,8393,202603
CYIENT,Cyient Ltd,8366,202603
INTELLECT,Intellect Design Arena Ltd,8362,202603
SANDUMA,Sandur Manganese & Iron Ores Ltd,8349,202603
JLHL,Jupiter Life Line Hospitals Ltd,8345,202603
TRIVENI,Triveni Engineering and Industries Ltd,8291,202603
STARCEMENT,Star Cement Ltd,8225,202603
NCC,NCC Ltd,8219,202603
PGINVIT,Powergrid Infrastructure Investment Trust,8210,202603
PARKHOSPS,Park Medi World Ltd,8192,202603
WAAREERTL,Waaree Renewable Technologies Ltd,8163,202603
INDIASHLTR,India Shelter Finance Corporation Ltd,8132,202603
AEQUS,Aequs Ltd,8115,202603
ASTRAMICRO,Astra Microwave Products Ltd,8070,202603
ORKLAINDIA,Orkla India Ltd,8010,202603
VIYASH,Viyash Scientific Ltd,8003,202603
PGHL,Procter & Gamble Health Ltd,7965,202603
ELECON,Elecon Engineering Company Ltd,7961,202603
LEMONTREE,Lemon Tree Hotels Ltd,7958,202603
OLECTRA,Olectra Greentech Ltd,7932,202603
BBOX,Black Box Ltd,7930,202603
CARTRADE,Cartrade Tech Ltd,7900,202603
GRWRHITECH,Garware Hi Tech Films Ltd,7860,202603
SHARDACROP,Sharda Cropchem Ltd,7846,202603
HCG,Healthcare Global Enterprises Ltd,7834,202603
MMTC,MMTC Ltd,7826,202603
TIMETECHNO,Time Technoplast Ltd,7809,202603
BATAINDIA,Bata India Ltd,7808,202603
KAMAHOLD,Kama Holdings Ltd,7736,202603
GRINFRA,G R Infraprojects Ltd,7733,202603
TITAGARH,Titagarh Rail Systems Ltd,7731,202603
IXIGO,Le Travenues Technology Ltd,7644,202603
TARIL,Transformers & Rectifiers India Ltd,7639,202603
ESABINDIA,Esab India Ltd,7627,202603
IIFLCAPS,IIFL Capital Services Ltd,7596,202603
WESTLIFE,Westlife Foodworld Ltd,7541,202603
MAHSEAMLES,Maharashtra Seamless Ltd,7504,202603
TSFINV,Tsf Investments Ltd,7499,202603
AKUMS,Akums Drugs & Pharmaceuticals Ltd,7335,202603
ACI,Archean Chemical Industries Ltd,7244,202603
BANCOINDIA,Banco Products (India) Ltd,7217,202603
WABAG,Va Tech Wabag Ltd,7215,202603
RAILTEL,Railtel Corporation of India Ltd,7181,202309
NESCO,NESCO Ltd,7157,202603
VARROC,Varroc Engineering Ltd,7152,202603
PNGJL,P N Gadgil Jewellers Ltd,7152,202603
MARKSANS,Marksans Pharma Ltd,7121,202603
BLUESTONE,Bluestone Jewellery & Lifestyle Ltd,7118,202603
AMAGI,Amagi Media Labs Ltd,7100,202603
TCI,Transport Corporation of India Ltd,7065,202603
SAFARI,Safari Industries (India) Ltd,7012,202603
GMRP&UI,GMR Power & Urban Infra Ltd,6998,202603
SKFINDIA,SKF India Ltd,6995,202603
CLEAN,Clean Science & Technology Ltd,6979,202603
JAYNECOIND,Jayaswal Neco Industries Ltd,6971,202603
RHIM,RHI Magnesita India Ltd,6962,202603
KPIGREEN,KPI Green Energy Ltd,6936,202603
JKLAKSHMI,JK Lakshmi Cement Ltd,6930,202603
ZEEL,Zee Entertainment Enterprises Ltd,6918,202603
GPPL,Gujarat Pipavav Port Ltd,6887,202603
TEJASNET,Tejas Networks Ltd,6886,202603
V2RETAIL,V2 Retail Ltd,6875,202603
SHILPAMED,Shilpa Medicare Ltd,6819,202603
JUSTDIAL,Just Dial Ltd,6819,202403
MANORAMA,Manorama Industries Ltd,6755,202603
KIRLPNU,Kirloskar Pneumatic Company Ltd,6733,202603
RELIGARE,Religare Enterprises Ltd,6726,202603
JSLL,Jeena Sikho Lifecare Ltd,6711,202603
SUDEEPPHRM,Sudeep Pharma Ltd,6691,202603
SHADOWFAX,Shadowfax Technologies Ltd,6685,202603
SEDEMAC,Sedemac Mechatronics Ltd,6675,202603
RIIT,RaajMarg Infra Investment Trust,6613,202603
,Midwest Gold Ltd,6607,202603
ABFRL,Aditya Birla Fashion & Retail Ltd,6579,202603
EPL,EPL Ltd,6563,202603
GENUSPOWER,Genus Power Infrastructures Ltd,6553,202603
APOLLO,Apollo Micro Systems Ltd,6510,202603
ELANTAS,Elantas Beck India Ltd,6503,202603
AXISCADES,AXISCADES Technologies Ltd,6493,202603
IMFA,Indian Metals & Ferro Alloys Ltd,6486,202603
KRBL,KRBL Ltd,6458,202603
VIKRAMSOLR,Vikram Solar Ltd,6449,202603
PCJEWELLER,PC Jeweller Ltd,6444,202603
BIRLACORPN,Birla Corporation Ltd,6426,202603
ISGEC,ISGEC Heavy Engineering  Ltd,6343,202603
TIPSMUSIC,Tips Music Ltd,6329,202603
DBL,Dilip Buildcon Ltd,6305,202603
WEWORK,Wework India Management Ltd,6300,202603
PRSMJOHNSN,Prism Johnson Ltd,6297,202603
DIACABS,Diamond Power Infrastructure Ltd,6295,202603
MAHLIFE,Mahindra Lifespace Developers Ltd,6279,202603
PGIL,Pearl Global Industries Ltd,6265,202603
PRICOLLTD,Pricol Ltd,6259,202603
GAEL,Gujarat Ambuja Exports Ltd,6240,202603
QPOWER,Quality Power Electrical Equipments Ltd,6217,202603
BENGALASM,Bengal & Assam Company Ltd,6204,202603
AVALON,Avalon Technologies Ltd,6204,202603
LLOYDSENT,Lloyds Enterprises Ltd,6183,202603
AVL,Aditya Vision Ltd,6176,202603
SAREGAMA,Saregama India Ltd,6153,202603
TTML,Tata Teleservices (Maharashtra) Ltd,6117,202603
DYNAMATECH,Dynamatic Technologies Ltd,6116,202603
HNDFDS,Hindustan Foods Ltd,6095,202603
SHREMINVIT,Shrem InvIT,6078,202603
REDTAPE,Redtape Ltd,6067,202603
TRANSRAILL,Transrail Lighting Ltd,6066,202603
UTLSOLAR,Fujiyama Power Systems Ltd,6013,202603
GARFIBRES,Garware Technical Fibres Ltd,5995,202603
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,5947,202603
RELAXO,Relaxo Footwears Ltd,5922,202603
EQUITASBNK,Equitas Small Finance Bank Ltd,5896,202603
CSBBANK,CSB Bank Ltd,5895,202603
RCF,Rashtriya Chemicals & Fertilizers Ltd,5889,202603
KENNAMET,Kennametal India Ltd,5885,202209
TTKPRESTIG,TTK Prestige Ltd,5884,202603
SUDARSCHEM,Sudarshan Chemical Industries Ltd,5875,202603
SONATSOFTW,Sonata Software Ltd,5869,202603
DODLA,Dodla Dairy Ltd,5858,202603
PRAJIND,Praj Industries Ltd,5847,202603
SGMART,SG Mart Ltd,5845,202603
RENUKA,Shree Renuka Sugars Ltd,5845,202603
DHANUKA,Dhanuka Agritech Ltd,5826,202503
ETHOSLTD,Ethos Ltd,5820,202603
KIRLFER,Kirloskar Ferrous Industries Ltd,5753,202603
WELENT,Welspun Enterprises Ltd,5750,202603
KINGFA,Kingfa Science & Technology (India) Ltd,5737,202603
NEWGEN,Newgen Software Technologies Ltd,5723,202603
INDIAGLYCO,India Glycols Ltd,5691,202603
SHAKTIPUMP,Shakti Pumps (India) Ltd,5681,202603
BLUEJET,Blue Jet Healthcare Ltd,5677,202603
THYROCARE,Thyrocare Technologies Ltd,5567,202603
JKPAPER,JK Paper Ltd,5559,202603
ALOKINDS,Alok Industries Ltd,5556,202603
GSFC,Gujarat State Fertilizers & Chemicals Ltd,5547,202603
SUPRAJIT,Suprajit Engineering Ltd,5498,202603
HAPPSTMNDS,Happiest Minds Technologies Ltd,5498,202603
BECTORFOOD,Mrs Bectors Food Specialities Ltd,5497,202603
KOVAI,Kovai Medical Center & Hospital Ltd,5495,202603
EMBDL,Embassy Developments Ltd,5490,202603
SMLMAH,SML Mahindra Ltd,5488,202603
POWERMECH,Power Mech Projects Ltd,5475,202603
INDUSINVIT,Indus Infra Trust,5462,202603
INOXGREEN,Inox Green Energy Services Ltd,5460,202603
ENTERO,Entero Healthcare Solutions Ltd,5421,202603
ARVINDFASN,Arvind Fashions Ltd,5382,202603
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,5377,202603
GALAXYSURF,Galaxy Surfactants Ltd,5370,202603
AARTIPHARM,Aarti Pharmalabs Ltd,5342,202603
GOKULAGRO,Gokul Agro Resources Ltd,5338,202603
KWIL,Kwality Walls India Ltd,5324,202603
KALPATARU,Kalpataru Ltd,5315,202603
KRN,KRN Heat Exchanger and Refrigeration Ltd,5295,202603
BORORENEW,Borosil Renewables Ltd,5292,202603
LLOYDSENGG,Lloyds Engineering Works Ltd,5275,202603
SHREEJISPG,Shreeji Shipping Global Ltd,5262,202603
LGBBROSLTD,L G Balakrishnan & Bros Ltd,5249,202603
FDC,FDC Ltd,5229,202603
GREENLAM,Greenlam Industries Ltd,5222,202603
LATENTVIEW,Latent View Analytics Ltd,5199,202603
RATEGAIN,Rategain Travel Technologies Ltd,5189,202603
,Energy Infrastructure Trust,5177,202603
PICCADIL,Piccadily Agro Industries Ltd,5104,202603
DCBBANK,DCB Bank Ltd,5101,202603
SFL,Sheela Foam Ltd,5098,202603
MASFIN,MAS Financial Services Ltd,5082,202603
MIDHANI,Mishra Dhatu Nigam Ltd,5076,202603
NEPHROPLUS,Nephrocare Health Services Ltd,5073,202603
FIEMIND,Fiem Industries Ltd,5039,202603
LOTUSDEV,Sri Lotus Developers & Realty Ltd,5027,202603
MAXESTATES,Max Estates Ltd,5024,202603
TANLA,Tanla Platforms Ltd,5012,202603
WAKEFIT,Wakefit Innovations Ltd,5011,202603
SJS,S J S Enterprises Ltd,4958,202603
TIIL,Technocraft Industries (India) Ltd,4957,202603
ICIL,Indo Count Industries Ltd,4947,202603
SKYGOLD,Sky Gold & Diamonds Ltd,4927,202603
NDRINVIT,NDR INVIT Trust,4911,202603
ICRA,ICRA Ltd,4829,202603
SAPPHIRE,Sapphire Foods India Ltd,4816,202603
PARAS,Paras Defence and Space Technologies Ltd,4800,202603
SAATVIKGL,Saatvik Green Energy Ltd,4784,202603
IRBINVIT,IRB InvIT Fund,4765,202603
SYMPHONY,Symphony Ltd,4719,202603
BANARISUG,Bannari Amman Sugars Ltd,4719,202603
RUSTOMJEE,Keystone Realtors Ltd,4712,202603
CEIGALL,Ceigall India Ltd,4709,202603
IONEXCHANG,Ion Exchange (India) Ltd,4699,202603
BALUFORGE,Balu Forge Industries Ltd,4689,202603
,Dhenu Buildcon Infra Ltd,4676,202603
PTC,PTC India Ltd,4667,202603
CCAVENUE,AvenuesAI Ltd,4664,202603
FEDFINA,Fedbank Financial Services Ltd,4642,202603
RALLIS,Rallis India Ltd,4627,202203
AJAXENGG,Ajax Engineering Ltd,4604,202603
PILANIINVS,Pilani Investment & Industries Corporation Ltd,4593,202603
RAYMONDLSL,Raymond Lifestyle Ltd,4592,202603
MHRIL,Mahindra Holidays & Resorts India Ltd,4570,202603
SENCO,Senco Gold Ltd,4566,202603
ELECTCAST,Electrosteel Castings Ltd,4551,202603
DBREALTY,Valor Estate Ltd,4548,202603
SUPRIYA,Supriya Lifescience Ltd,4548,202603
SPICEJET,SpiceJet Ltd,4539,202512
BAJAJCON,Bajaj Consumer Care Ltd,4532,202603
NIRLON,Nirlon Ltd,4517,202603
CIGNITITEC,Cigniti Technologies Ltd,4504,202512
JAMNAAUTO,Jamna Auto Industries Ltd,4480,202603
ASHAPURMIN,Ashapura Minechem Ltd,4399,202603
MAPMYINDIA,C.E. Info Systems Ltd,4391,202603
GULFOILLUB,Gulf Oil Lubricants India Ltd,4380,202603
CMSINFO,CMS Info Systems Ltd,4371,202603
AHLUCONT,Ahluwalia Contracts (India) Ltd,4369,202603
CRAMC,Canara Robeco Asset Management Company Ltd,4345,202603
LUMAXIND,Lumax Industries Ltd,4340,202603
CARERATING,CARE Ratings Ltd,4326,202603
VIPIND,V I P Industries Ltd,4294,202603
GOKEX,Gokaldas Exports Ltd,4255,202603
NETWORK18,Network 18 Media & Investments Ltd,4245,202603
GANESHHOU,Ganesh Housing Ltd,4231,202603
JUNIPER,Juniper Hotels Ltd,4228,202603
E2E,E2E Networks Ltd,4222,202603
THOMASCOOK,Thomas Cook (India) Ltd,4212,202603
SEITINVIT,Sustainable Energy Infra Trust,4212,202603
SMARTWORKS,Smartworks Coworking Spaces Ltd,4193,202603
CHEMPLASTS,Chemplast Sanmar Ltd,4179,202603
GUJALKALI,Gujarat Alkalies & Chemicals Ltd,4174,202603
MASTEK,Mastek Ltd,4164,202603
VSTTILLERS,VST Tillers Tractors Ltd,4154,202603
MIDWESTLTD,Midwest Ltd,4143,202603
SUBROS,Subros Ltd,4141,202603
PNCINFRA,PNC Infratech Ltd,4106,202603
SURYAROSNI,Surya Roshni Ltd,4090,202603
VRLLOG,VRL Logistics Ltd,4088,202603
CENTUM,Centum Electronics Ltd,4076,202603
RTNPOWER,RattanIndia Power Ltd,4065,202603
SHILCTECH,Shilchar Technologies Ltd,4064,202603
SHARDAMOTR,Sharda Motor Industries Ltd,4057,202603
MBAPL,Madhya Bharat Agro Products Ltd,4035,202603
KSCL,Kaveri Seed Company Ltd,4019,202603
TVSSCS,TVS Supply Chain Solutions Ltd,4017,202603
SWARAJENG,Swaraj Engines Ltd,4016,202603
EBGNG,GNG Electronics Ltd,4015,202603
AURIONPRO,Aurionpro Solutions Ltd,4006,202603
SUNTECK,Sunteck Realty Ltd,3999,202603
SIS,SIS Ltd,3958,202603
HAWKINCOOK,Hawkins Cookers Ltd,3944,202603
INNOVACAP,Innova Captab Ltd,3934,202603
BAJAJELEC,Bajaj Electricals Ltd,3926,202603
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,3917,202603
GHCL,GHCL Ltd,3888,202603
PURVA,Puravankara Ltd,3876,202603
GREENPANEL,Greenpanel Industries Ltd,3858,202403
CAPILLARY,Capillary Technologies India Ltd,3796,202603
JSFB,Jana Small Finance Bank Ltd,3788,202603
VMART,V-Mart Retail Ltd,3777,202603
DATAMATICS,Datamatics Global Services Ltd,3762,202603
SKIPPER,Skipper Ltd,3761,202603
TANFACIND,Tanfac Industries Ltd,3738,202603
SPARC,Sun Pharma Advanced Research Company Ltd,3719,202603
PDSL,PDS Ltd,3689,202603
ZOTA,Zota Health Care Ltd,3688,202603
STYLAMIND,Stylam Industries Ltd,3661,202603
,City Pulse Multiventures Ltd,3652,202603
IFBIND,IFB Industries Ltd,3624,202603
TATAELXSI,Tata Elxsi Ltd,3606,201503
NIITMTS,NIIT Learning Systems Ltd,3604,202603
KMEW,Knowledge Marine & Engineering Works Ltd,3604,202603
JTEKTINDIA,JTEKT India Ltd,3602,202309
HCC,Hindustan Construction Company Ltd,3597,202603
UNIMECH,Unimech Aerospace and Manufacturing Ltd,3594,202603
RAIN,Rain Industries Ltd,3591,202603
SEAMECLTD,SEAMEC Ltd,3583,202603
GMMPFAUDLR,GMM Pfaudler Ltd,3568,202603
,ASM Technologies Ltd,3546,202603
RTNINDIA,RattanIndia Enterprises Ltd,3543,202603
BANSALWIRE,Bansal Wire Industries Ltd,3529,202603
SMSPHARMA,SMS Pharmaceuticals Ltd,3509,202603
SUVEN,Suven Life Sciences Ltd,3504,202603
AGIIL,AGI Infra Ltd,3500,202603
SUNFLAG,Sunflag Iron & Steel Company Ltd,3495,202603
FOSECOIND,Foseco India Ltd,3494,202603
EPIGRAL,Epigral Ltd,3493,202603
SENORES,Senores Pharmaceuticals Ltd,3490,202603
SWSOLAR,Sterling & Wilson Renewable Energy Ltd,3478,202603
STYL,Seshaasai Technologies Ltd,3460,202603
TECHNVISN,TechNVision Ventures Ltd,3448,202603
TRUALT,TruAlt Bioenergy Ltd,3440,202603
INDRAMEDCO,Indraprastha Medical Corporation Ltd,3407,202603
VSTIND,VST Industries Ltd,3397,202603
MOIL,MOIL Ltd,3396,202012
INDIGOPNTS,Indigo Paints Ltd,3394,202603
EMIL,Electronics Mart India Ltd,3392,202603
,Colab Platforms Ltd,3390,202603
RESPONIND,Responsive Industries Ltd,3378,202603
WPIL,WPIL Ltd,3378,202603
AVANTEL,Avantel Ltd,3360,202603
,Intelligent Supply Chain Infrastructure Trust,3353,202409
RBA,Restaurant Brands Asia Ltd,3341,202603
NORTHARC,Northern Arc Capital Ltd,3339,202603
DBCORP,D B Corp Ltd,3325,202603
ORIENTELEC,Orient Electric Ltd,3324,202603
OSWALPUMPS,Oswal Pumps Ltd,3306,202603
SHANTIGEAR,Shanthi Gears Ltd,3304,202603
MAHLOG,Mahindra Logistics Ltd,3292,202603
TARC,TARC Ltd,3292,202603
VISHNU,Vishnu Chemicals Ltd,3284,202603
GOODLUCK,Goodluck India Ltd,3273,202603
ARTEMISMED,Artemis Medicare Services Ltd,3249,202603
,Kesar India Ltd,3243,202603
JKIL,J Kumar Infraprojects Ltd,3225,202603
SINDHUTRAD,Sindhu Trade Links Ltd,3212,202603
ANUP,The Anup Engineering Ltd,3207,202603
TEXRAIL,Texmaco Rail & Engineering Ltd,3206,202603
DALMIASUG,Dalmia Bharat Sugar & Industries Ltd,3198,202603
ANZEN,Anzen India Energy Yield Plus Trust,3196,202603
SHOPERSTOP,Shoppers Stop Ltd,3190,202603
KNRCON,KNR Constructions Ltd,3186,202603
HEMIPROP,Hemisphere Properties India Ltd,3183,202603
ITDC,India Tourism Development Corporation Ltd,3178,202603
MANINFRA,Man Infraconstruction Ltd,3177,202603
NFL,National Fertilizer Ltd,3170,202603
BALAMINES,Balaji Amines Ltd,3166,202603
GRMOVER,GRM Overseas Ltd,3162,202603
AEROFLEX,Aeroflex Industries Ltd,3156,202603
STYRENIX,Styrenix Performance Materials Ltd,3149,202603
INDOTHAI,Indo Thai Securities Ltd,3147,202603
GOPAL,Gopal Snacks Ltd,3141,202603
HEIDELBERG,HeidelbergCement India Ltd,3107,202603
POCL,Pondy Oxides & Chemicals Ltd,3091,202603
CRIZAC,Crizac Ltd,3077,202603
PAISALO,Paisalo Digital Ltd,3070,202603
WONDERLA,Wonderla Holidays Ltd,3067,202603
INDOSTAR,Indostar Capital Finance Ltd,3064,202603
EMUDHRA,eMudhra Ltd,3064,202603
RPGLIFE,RPG Life Sciences Ltd,3060,202603
PACEDIGITK,Pace Digitek Ltd,3040,202603
SANATHAN,Sanathan Textiles Ltd,3040,202603
AGI,AGI Greenpac Ltd,3031,202603
GOLDIAM,Goldiam International Ltd,3029,202603
OMNI,Omnitech Engineering Ltd,3025,202603
ROLEXRINGS,Rolex Rings Ltd,3022,202603
ORISSAMINE,Orissa Minerals Development Company Ltd,3001,202512
