date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-05-12,NIFTY,2026-05-12,CE,23650,0,23634.05,23617.7,09:33,09:34,16.349999999998545,23617.7,23653.67,09:37,23643.0,66.3,09:44,23649.95,66.5,TP,0.20000000000000284,13.000000000000185,65
2026-05-12,NIFTY,2026-05-12,PE,23650,0,23650.15,23633.3,09:45,09:46,16.850000000002183,23650.15,23613.079999999998,09:48,23632.75,67.35,09:56,23650.05,59.1,SL,-8.249999999999993,-536.2499999999995,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23639.95,23624.75,09:57,09:58,15.200000000000728,23639.95,23606.51,10:01,23622.65,45.1,10:07,23640.0,38.9,SL,-6.200000000000003,-403.00000000000017,65
2026-05-12,NIFTY,2026-05-12,CE,23650,0,23637.85,23629.15,10:09,10:10,8.69999999999709,23629.15,23648.289999999994,10:12,23644.6,59.65,10:15,23652.05,60.95,TP,1.3000000000000043,84.50000000000028,65
2026-05-12,NIFTY,2026-05-12,CE,23650,0,23668.15,23653.3,10:17,10:18,14.850000000002183,23653.3,23685.970000000005,10:20,23669.25,71.65,10:23,23654.2,59.95,SL,-11.700000000000003,-760.5000000000002,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23634.15,23621.65,10:25,10:26,12.5,23634.15,23606.65,10:28,23619.7,43.25,10:29,23609.5,45.8,TP,2.549999999999997,165.74999999999983,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23616.15,23604.55,10:30,10:31,11.600000000002183,23616.15,23590.629999999997,10:39,23601.95,50.0,10:42,23614.4,43.05,SL,-6.950000000000003,-451.75000000000017,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23638.65,23624.85,10:43,10:44,13.80000000000291,23638.65,23608.289999999994,10:46,23622.95,40.65,10:48,23615.3,42.25,TP,1.6000000000000014,104.00000000000009,65
2026-05-12,NIFTY,2026-05-12,CE,23600,0,23611.15,23599.3,10:49,10:50,11.850000000002183,23599.3,23625.370000000003,10:57,23614.5,67.7,11:03,23592.2,53.35,SL,-14.350000000000001,-932.7500000000001,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23596.95,23586.15,11:04,11:05,10.799999999999272,23596.95,23573.190000000002,11:07,23585.3,53.95,11:17,23596.2,47.45,SL,-6.5,-422.5,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23612.25,23602.45,11:18,11:19,9.799999999999272,23612.25,23590.690000000002,11:23,23599.65,45.9,11:24,23599.2,46.7,TP,0.8000000000000043,52.00000000000028,65
2026-05-12,NIFTY,2026-05-12,CE,23600,0,23601.4,23590.45,11:25,11:26,10.950000000000728,23590.45,23614.54,11:28,23603.95,61.95,11:30,23589.5,52.3,SL,-9.650000000000006,-627.2500000000003,65
2026-05-12,NIFTY,2026-05-12,CE,23600,0,23594.55,23578.65,11:32,11:33,15.899999999997817,23578.65,23613.629999999997,11:35,23597.4,57.35,12:08,23579.85,43.9,SL,-13.450000000000003,-874.2500000000002,65
2026-05-12,NIFTY,2026-05-12,CE,23550,0,23566.5,23551.3,12:09,12:10,15.200000000000728,23551.3,23584.74,12:17,23572.05,71.0,12:31,23529.4,42.95,SL,-28.049999999999997,-1823.2499999999998,65
2026-05-12,NIFTY,2026-05-12,CE,23550,0,23526.8,23508.35,12:37,12:38,18.450000000000728,23508.35,23548.94,12:44,23529.1,43.8,13:12,23508.1,28.15,SL,-15.649999999999999,-1017.2499999999999,65
2026-05-12,NIFTY,2026-05-12,CE,23550,0,23552.05,23544.0,13:16,13:17,8.049999999999272,23544.0,23561.71,13:19,23553.9,44.5,13:20,23544.0,42.75,SL,-1.75,-113.75,65
2026-05-12,NIFTY,2026-05-12,CE,23550,0,23536.75,23524.3,13:25,13:26,12.450000000000728,23524.3,23551.690000000002,13:32,23538.35,34.5,13:37,23517.25,22.1,SL,-12.399999999999999,-805.9999999999999,65
2026-05-12,NIFTY,2026-05-12,PE,23500,0,23509.0,23496.55,13:42,13:43,12.450000000000728,23509.0,23481.609999999997,13:47,23496.1,30.6,13:49,23518.55,22.4,SL,-8.200000000000003,-533.0000000000002,65
2026-05-12,NIFTY,2026-05-12,PE,23500,0,23530.85,23515.55,13:51,13:52,15.299999999999272,23530.85,23497.19,13:54,23510.45,23.8,13:55,23500.05,27.6,TP,3.8000000000000007,247.00000000000006,65
2026-05-12,NIFTY,2026-05-12,PE,23500,0,23502.45,23490.9,13:56,13:57,11.549999999999272,23502.45,23477.04,14:01,23483.3,35.85,14:06,23484.75,32.35,TP,-3.5,-227.5,65
2026-05-12,NIFTY,2026-05-12,CE,23450,0,23461.05,23447.85,14:12,14:13,13.200000000000728,23447.85,23476.89,14:16,23467.25,39.0,14:25,23487.3,49.45,TP,10.450000000000003,679.2500000000002,65
2026-05-12,NIFTY,2026-05-12,PE,23450,0,23471.75,23459.25,14:26,14:27,12.5,23471.75,23444.25,14:33,23456.3,18.25,14:35,23439.2,22.55,TP,4.300000000000001,279.50000000000006,65
2026-05-12,NIFTY,2026-05-12,CE,23450,0,23458.35,23447.6,14:36,14:37,10.75,23447.6,23471.25,14:39,23468.15,31.55,14:43,23461.05,27.35,TP,-4.199999999999999,-272.99999999999994,65
2026-05-13,NIFTY,2026-05-19,PE,23200,-3,23416.0,23394.95,09:26,09:27,21.049999999999272,23416.0,23369.690000000002,09:30,23367.7,146.3,09:31,23384.9,141.3,TP,-5.0,-325.0,65
2026-05-13,NIFTY,2026-05-19,PE,23150,-4,23362.95,23347.9,09:32,09:33,15.049999999999272,23362.95,23329.840000000004,09:35,23337.3,142.25,09:36,23316.75,152.25,TP,10.0,650.0,65
2026-05-13,NIFTY,2026-05-19,PE,23100,-4,23327.0,23305.1,09:45,09:46,21.900000000001455,23327.0,23278.819999999996,09:48,23290.3,147.6,09:52,23335.25,130.75,SL,-16.849999999999994,-1095.2499999999995,65
2026-05-13,NIFTY,2026-05-19,PE,23150,-4,23389.7,23365.85,09:55,09:56,23.850000000002183,23389.7,23337.229999999996,09:58,23353.25,149.95,10:02,23380.45,137.9,SL,-12.049999999999983,-783.2499999999989,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23458.1,23443.35,10:30,10:31,14.75,23443.35,23475.8,10:35,23475.5,153.45,10:36,23461.8,144.15,TP,-9.299999999999983,-604.4999999999989,65
2026-05-13,NIFTY,2026-05-19,PE,23250,-4,23464.15,23448.1,10:37,10:38,16.05000000000291,23464.15,23428.839999999997,10:40,23429.85,147.55,10:44,23461.95,136.5,SL,-11.050000000000011,-718.2500000000007,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-3,23472.45,23462.25,10:45,10:46,10.200000000000728,23472.45,23450.01,10:48,23459.95,153.2,10:50,23445.65,158.45,TP,5.25,341.25,65
2026-05-13,NIFTY,2026-05-19,PE,23250,-3,23459.0,23437.85,10:52,10:53,21.150000000001455,23459.0,23412.469999999998,10:56,23421.35,150.6,10:58,23403.6,158.2,TP,7.599999999999994,493.99999999999966,65
2026-05-13,NIFTY,2026-05-19,PE,23200,-4,23407.15,23393.55,11:04,11:05,13.600000000002183,23407.15,23377.229999999996,11:07,23384.3,146.5,11:16,23409.75,136.45,SL,-10.050000000000011,-653.2500000000007,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23500.3,23482.55,11:47,11:48,17.75,23500.3,23461.25,11:54,23477.85,147.9,12:11,23501.3,138.5,SL,-9.400000000000006,-611.0000000000003,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23518.7,23505.35,12:14,12:15,13.350000000002183,23518.7,23489.329999999994,12:17,23494.5,140.55,12:18,23480.75,144.95,TP,4.399999999999977,285.9999999999985,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23501.4,23483.65,12:19,12:20,17.75,23501.4,23462.350000000002,12:34,23476.65,147.05,12:36,23463.2,152.25,TP,5.199999999999989,337.99999999999926,65
2026-05-13,NIFTY,2026-05-19,PE,23250,-4,23470.4,23459.85,12:38,12:39,10.55000000000291,23470.4,23447.189999999995,12:41,23438.1,145.5,12:42,23424.0,150.95,TP,5.449999999999989,354.24999999999926,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23469.15,23460.15,12:48,12:49,9.0,23460.15,23479.95,12:51,23477.55,140.9,12:52,23481.8,141.9,TP,1.0,65.0,65
2026-05-13,NIFTY,2026-05-19,PE,23400,-3,23582.95,23553.3,12:59,13:00,29.650000000001455,23582.95,23517.719999999998,13:06,23551.8,144.15,13:17,23517.7,162.9,TP,18.75,1218.75,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23509.85,23494.4,13:18,13:19,15.44999999999709,23494.4,23528.389999999996,13:32,23514.2,150.15,13:33,23535.0,162.0,TP,11.849999999999994,770.2499999999997,65
2026-05-13,NIFTY,2026-05-19,PE,23350,-3,23539.15,23516.95,13:36,13:37,22.200000000000728,23539.15,23490.31,13:49,23514.4,145.45,13:56,23481.85,162.95,TP,17.5,1137.5,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23506.15,23491.8,13:57,13:58,14.350000000002183,23491.8,23523.370000000003,14:01,23504.9,146.25,14:02,23493.8,142.7,SL,-3.5500000000000114,-230.75000000000074,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23500.6,23481.8,14:03,14:04,18.799999999999272,23481.8,23523.159999999996,14:09,23506.0,147.45,14:13,23521.65,155.25,TP,7.800000000000011,507.00000000000074,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23522.4,23514.1,14:14,14:15,8.30000000000291,23522.4,23504.139999999996,14:19,23490.05,141.45,14:20,23482.35,145.3,TP,3.8500000000000227,250.25000000000148,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23516.35,23491.9,14:24,14:25,24.44999999999709,23516.35,23462.560000000005,14:28,23488.55,140.0,14:45,23448.4,155.35,EOD,15.349999999999994,997.7499999999997,65
2026-05-14,NIFTY,2026-05-19,CE,23700,2,23581.25,23564.3,09:25,09:26,16.950000000000728,23564.3,23601.59,09:30,23581.35,152.2,09:35,23565.5,138.05,SL,-14.149999999999977,-919.7499999999985,65
2026-05-14,NIFTY,2026-05-19,PE,23400,-3,23569.95,23538.95,09:36,09:37,31.0,23569.95,23501.75,09:40,23525.75,137.9,09:45,23499.0,148.75,TP,10.849999999999994,705.2499999999997,65
2026-05-14,NIFTY,2026-05-19,PE,23350,-3,23500.7,23489.15,09:50,09:51,11.549999999999272,23500.7,23475.29,09:54,23482.1,136.85,09:55,23473.2,138.2,TP,1.3499999999999943,87.74999999999963,65
2026-05-14,NIFTY,2026-05-19,PE,23350,-2,23475.35,23452.85,09:56,09:57,22.5,23475.35,23425.85,09:59,23450.8,148.2,10:03,23490.8,132.8,SL,-15.399999999999977,-1000.9999999999985,65
2026-05-14,NIFTY,2026-05-19,PE,23350,-2,23484.95,23464.75,10:06,10:07,20.200000000000728,23484.95,23440.51,10:09,23464.45,143.0,10:10,23483.85,134.6,SL,-8.400000000000006,-546.0000000000003,65
2026-05-14,NIFTY,2026-05-19,CE,23650,3,23490.7,23472.2,10:11,10:12,18.5,23472.2,23512.9,10:15,23496.8,133.0,10:20,23515.35,136.9,TP,3.9000000000000057,253.50000000000037,65
2026-05-14,NIFTY,2026-05-19,CE,23600,2,23489.1,23473.25,10:22,10:23,15.849999999998545,23473.25,23508.119999999995,10:25,23495.95,150.5,10:28,23510.6,157.0,TP,6.5,422.5,65
2026-05-14,NIFTY,2026-05-19,CE,23650,3,23517.45,23505.25,10:29,10:30,12.200000000000728,23505.25,23532.09,10:35,23520.2,139.9,10:36,23531.75,142.25,TP,2.3499999999999943,152.74999999999963,65
2026-05-14,NIFTY,2026-05-19,CE,23600,3,23456.6,23426.55,10:49,10:50,30.049999999999272,23426.55,23492.659999999996,10:52,23462.15,133.3,11:19,23494.6,141.05,TP,7.75,503.75,65
2026-05-14,NIFTY,2026-05-19,PE,23450,-1,23549.25,23530.45,11:24,11:25,18.799999999999272,23549.25,23507.890000000003,11:27,23521.1,143.75,11:29,23574.1,124.7,SL,-19.049999999999997,-1238.2499999999998,65
2026-05-14,NIFTY,2026-05-19,CE,23700,2,23589.1,23569.95,11:31,11:32,19.149999999997817,23569.95,23612.079999999994,11:34,23603.85,149.25,11:36,23621.2,154.6,TP,5.349999999999994,347.74999999999966,65
2026-05-14,NIFTY,2026-05-19,CE,23750,2,23618.85,23600.9,11:37,11:38,17.94999999999709,23600.9,23640.389999999996,11:40,23629.15,134.9,11:42,23647.5,144.35,TP,9.449999999999989,614.2499999999993,65
2026-05-14,NIFTY,2026-05-19,CE,23800,2,23669.45,23643.3,11:43,11:44,26.150000000001455,23643.3,23700.83,11:49,23675.15,140.15,11:53,23692.15,149.2,TP,9.049999999999983,588.2499999999989,65
2026-05-14,NIFTY,2026-05-19,PE,23550,-2,23687.55,23666.9,11:55,11:56,20.649999999997817,23687.55,23642.120000000003,12:02,23658.95,141.15,12:11,23641.35,145.45,TP,4.299999999999983,279.49999999999886,65
2026-05-14,NIFTY,2026-05-19,CE,23800,3,23653.2,23641.15,12:12,12:13,12.049999999999272,23641.15,23667.66,12:15,23667.95,135.9,12:16,23677.95,140.75,TP,4.849999999999994,315.24999999999966,65
2026-05-14,NIFTY,2026-05-19,PE,23600,-2,23708.1,23689.55,12:17,12:18,18.549999999999272,23708.1,23667.29,12:20,23682.6,148.5,12:23,23690.95,143.85,EOD,-4.650000000000006,-302.25000000000034,65
